Title,Opening Date,Theatre ID,Theatre Name (from Show Info),Production Type,Intermissions,Show Type,Show ID,Year,Closing Date,N Performances,Other Titles,Previews Date,Running Time,Official Website,Show Type Simple,Show Never Opened,Run Time,Revival,Pre-Broadway,Limited Run,Repertory
The Recruiting Officer,1732-12-06,7409,New Theatre,Original Production,,Play,313359,1732,,,,,,,Play,False,,False,,,
Spanish Friar,1750-03-13,5640,Nassau Street Theatre,Original Production,,Play,313413,1750,,,,,,,Play,False,,False,,,
The Orphan,1750-04-02,5640,Nassau Street Theatre,Original Production,,Play,313471,1750,,,,,,,Play,False,,False,,,
Love for Love,1750-07-23,5640,Nassau Street Theatre,Original Production,,Play,313540,1750,,,,,,,Play,False,,False,,,
Cato,1750-09-24,5640,Nassau Street Theatre,Original Production,,Play,313610,1750,,,,,,,Play,False,,False,,,
King Richard III,1750-03-05,5640,Nassau Street Theatre,Original Production,,Play,322333,1750,1750-03-12,,,,,,Play,False,,False,,,
The Beggar's Opera,1750-12-03,5640,Nassau Street Theatre,Original Production,,Operetta,3423,1750,1751-05-13,5,,,,,Musical,False,,False,,,
Othello,1751-12-23,5640,Nassau Street Theatre,Original Production,,Play,313340,1751,,,,,,,Play,False,,False,,,
The Conscious Lovers,1753-09-17,5640,Nassau Street Theatre,Original Production,,Play,313591,1753,,,,,,,Play,False,,False,,,
King Lear,1754-01-14,5640,Nassau Street Theatre,Original Production,,Play,313137,1754,,,,,,,Play,False,,False,,,
Romeo and Juliet,1754-01-28,7409,New Theatre,Original Production,,Play,313155,1754,,,,,,,Play,False,,False,,,
"King Henry IV, Part I",1761-12-18,7185,Chapel Street Theatre,Original Production,,Play,313324,1761,,,,,,,Play,False,,False,,,
Cymbeline,1767-12-28,5641,John Street Theatre,Original Production,,Play,313349,1767,,,,,,,Play,False,,False,,,
The Merchant of Venice,1768-01-28,5641,John Street Theatre,Original Production,,Play,313156,1768,,,,,,,Play,False,,False,,,
The Taming of the Shrew,1768-01-08,5641,John Street Theatre,Original Production,,Play,313179,1768,,,,,,,Play,False,,False,,,
Macbeth,1768-05-03,5641,John Street Theatre,Original Production,,Play,313511,1768,,,,,,,Play,False,,False,,,
"King Henry IV, Part I",1768-02-25,5641,John Street Theatre,Revival,,Play,313929,1768,,,,,,,Play,False,,True,,,
King John,1769-01-09,5641,John Street Theatre,Original Production,,Play,313181,1769,,,,,,,Play,False,,False,,,
She Stoops to Conquer,1773-03-15,5641,John Street Theatre,Original Production,,Play,313417,1773,,,,,,,Play,False,,False,,,
The Rivals,1778-04-21,5641,John Street Theatre,Original Production,,Play,313474,1778,,,,,,,Play,False,,False,,,
The School for Scandal,1785-12-12,5641,John Street Theatre,Original Production,,Play,313309,1785,,,,,,,Play,False,,False,,,
The Critic,1786-07-10,5641,John Street Theatre,Original Production,,Play,313536,1786,,,,,,,Play,False,,False,,,
As You Like It,1786-07-14,5641,John Street Theatre,Original Production,,Play,313539,1786,,,,,,,Play,False,,False,,,
May Day in Town,1787-05-19,5641,John Street Theatre,Original Production,,Musical,312290,1787,1787-05-19,1,,,,,Musical,False,,False,,,
Much Ado About Nothing,1787-03-19,5641,John Street Theatre,Original Production,,Play,313422,1787,,,,,,,Play,False,,False,,,
The Merry Wives of Windsor,1789-10-05,5641,John Street Theatre,Original Production,,Play,313238,1789,,,,,,,Play,False,,False,,,
The Agreeable Surprise,1793-11-29,,,,,,3076,1793,1793-11-29,1,,,,,,False,,,,,
Needs Must,1793-12-26,5641,John Street Theatre,Original Production,1.0,Musical,6196,1793,,,"Needs Must, or, the Ballad Singers (full title)",,,,Musical,False,,False,,True,True
Julius Caesar,1794-03-14,5641,John Street Theatre,Original Production,,Play,313415,1794,,,,,,,Play,False,,False,,,
The Winter's Tale,1795-06-01,5641,John Street Theatre,Original Production,,Play,313527,1795,,,,,,,Play,False,,False,,,
The Archers,1796-04-18,5641,John Street Theatre,Original Production,,Musical,312280,1796,1796-04-22,3,,,,,Musical,False,,False,,,
Edwin and Angelina,1796-12-19,5641,John Street Theatre,Original Production,,Opera,4372,1796,1796-12-19,1,"Edwin and Angelina, or, the Banditti (full title)",,,,Opera,False,,False,,,
King Henry VIII,1799-05-13,7555,Park Theatre,Original Production,,Play,313503,1799,,,,,,,Play,False,,False,,,
Twelfth Night,1804-06-11,7555,Park Theatre,Original Production,,Play,312247,1804,,,,,,,Play,False,,False,,,
King Henry V,1804-12-17,7140,Bedlow Street Theatre,Original Production,,Play,313320,1804,,,,,,,Play,False,,False,,,
Brother and Sister,1816-01-05,7555,Park Theatre,Original Production,1.0,Musical,3726,1816,,,,,,,Musical,False,,False,,True,True
Virginius,1820-09-25,7130,Anthony Street Theatre,Original Production,,Play,313612,1820,,,,,,,Play,False,,False,,,
King Richard III,1821-09-21,7610,African Grove,Revival,,Play,313940,1821,,,,,,,Play,False,,True,,,
"King Henry IV, Part II",1822-02-02,7555,Park Theatre,Original Production,,Play,313386,1822,,,,,,,Play,False,,False,,,
Tom and Jerry,1823-03-03,7555,Park Theatre,Original Production,1.0,,7580,1823,1823-07-04,,,,,,,False,,False,,True,True
Tom and Jerry,1823-10-02,7555,Park Theatre,Revival,1.0,,9915,1823,,,,,,,,False,,True,,,
King Richard III,1825-11-14,7555,Park Theatre,Revival,,Play,313921,1825,,,,,,,Play,False,,True,,,
"The Vision of the Sun, or, the Orphan of Peru",1825-10-03,,,,1.0,Opera,7736,1825,,,"The Vision of the Sun, or, the Orphan of Peru (full title)",,,,Opera,False,,,,,
A Midsummer Night's Dream,1826-11-09,7555,Park Theatre,Original Production,,Play,313302,1826,,,,,,,Play,False,,False,,,
Rip Van Winkle,1830-04-22,7555,Park Theatre,Original Production,,Play,313475,1830,,,,,,,Play,False,,False,,,
The Hunchback,1832-06-18,7452,Richmond Hill Theatre,Original Production,,Play,313529,1832,,,,,,,Play,False,,False,,,
The Hunchback,1832-06-18,7555,Park Theatre,Original Production,,Play,313530,1832,,,,,,,Play,False,,False,,,
The Devil's Brother,1833-06-20,7555,Park Theatre,,1.0,Musical,4242,1833,,,The Devil's Brother (alternate title),,,,Musical,False,,,,,
The Saw Mill,1834-11-29,7607,Chatham Gardens Theatre,Original Production,,Musical,312242,1834,1835-02-05,5,,,,,Musical,False,,False,,,
"The Deep, Deep Sea",1834-11-15,7555,Park Theatre,Original Production,,,4219,1834,1837-09-23,19,,,,,,False,,False,,True,True
Mathews At Home!/ The Comic Annual,1834-10-13,7555,Park Theatre,Original Production,,,5931,1834,1834-10-31,,,,,,,False,,False,,True,True
"The Deep, Deep Sea, or, the Sea Serpent!",1835-08-19,7555,Park Theatre,Revival,,,4220,1835,,,,,,,,False,,True,,,
Family Jars,1835-05-21,7555,Park Theatre,,1.0,,4454,1835,,,,,,,,False,,,,,
The Loan of a Lover,1835-04-07,7555,Park Theatre,,1.0,Musical,5690,1835,,,,,,,Musical,False,,,,,
"The Deep, Deep Sea",1835-12-15,7555,Park Theatre,Revival,,,9918,1835,,,,,,,,False,,True,,,
Norman Leslie,1836-01-11,5649,Bowery Theatre,Original Production,,Play with Music,6294,1836,1836-08-30,,,,,,Play,False,,False,,True,True
"The Deep, Deep Sea",1837-09-23,5637,Olympic Theatre,Revival,,,9919,1837,,,,,,,,False,,True,,,
The Lady of Lyons,1838-05-14,7555,Park Theatre,Original Production,,Play,313504,1838,,,,,,,Play,False,,False,,,
Amilie,1838-10-15,7553,National Theatre,Original Production,1.0,Musical,9939,1838,,,"Amilie, or, the Love Test (full title)",,,,Musical,False,,False,,,
Richelieu,1839-09-04,7553,National Theatre,Original Production,,Play,313626,1839,,,,,,,Play,False,,False,,,
The Strange Gentleman/ The Roof Scrambler,1839-12-16,7420,Olympic Theatre,Original Production,,Musical,322179,1839,1840-05-30,,,,,,Musical,False,,False,,,
"The Deep, Deep Sea",1839-07-29,7555,Park Theatre,Revival,,,9920,1839,,,,,,,,False,,True,,,
"Buy-It-Dear, 'Tis Made of Cashmere",1840-11-02,7420,Olympic Theatre,Original Production,,Musical,322182,1840,1840-12-05,30,,,,,Musical,False,,False,,,
La Musquitoe,1840-05-21,7420,Olympic Theatre,Original Production,,Musical,322183,1840,1840-05-30,,,,,,Musical,False,,False,,,
The Cat's in the Larder,1840-12-23,5637,Olympic Theatre,Original Production,1.0,Opera,3897,1840,1841-01-24,27,"The Cat's in the Larder, or, the Maid with a Parasol (full title)",,,,Opera,False,,False,,,
1940!,1840-10-15,5637,Olympic Theatre,Original Production,1.0,Musical,6269,1840,1840-11-24,32,"1941! or, Crummles in Search of Novelty (alternate title)",,,,Musical,False,,False,,,
London Assurance,1841-10-11,7555,Park Theatre,Original Production,,Play,313187,1841,,,,,,,Play,False,,False,,,
The Naiad Queen,1841-04-21,5259,National Theatre,Original Production,1.0,,6172,1841,1841-05-22,24,,,,,,False,,False,,True,True
"The Drunkard, or, The Fallen Saved",,,,Original Production,1.0,Musical,9985,1843,,,"The Drunkard, or, The Fallen Saved",,,,Musical,True,,False,,,
Don Caesar de Bazan,1844-12-09,7420,Olympic Theatre,Original Production,,Play,313370,1844,,,,,,,Play,False,,False,,,
The Bohemian Girl,1844-11-25,7555,Park Theatre,Original Production,1.0,Opera,3625,1844,1844-12-14,17,"The Bohemian Girl, or, the Merry Zingara (full title)",,,,Opera,False,,False,,True,True
The Bohea-man's Girl,1845-03-11,5637,Olympic Theatre,Original Production,1.0,Opera,3619,1845,1845-04-25,20,,,,,Opera,False,,False,,True,True
Antony and Cleopatra,1846-04-27,7555,Park Theatre,Original Production,,Play,313483,1846,,,,,,,Play,False,,False,,,
The Enchantress,1846-05-26,5654,Chatham Theatre,Original Production,1.0,Opera,4394,1846,1846-06-06,12,The Enchantress! (alternate title),,,,Opera,False,,False,,,
Used Up,1847-09-27,7537,Broadway Theatre,Original Production,,Play,313620,1847,,,,,,,Play,False,,False,,,
Monte Cristo,1848-12-25,7537,Broadway Theatre,Original Production,,,313344,1848,,,,,,,,False,,False,,,
New York As It Is,1848-04-17,5654,Chatham Theatre,Original Production,,Musical,322308,1848,1848-07-25,47,,,,,Musical,False,,False,,,
A Glance at New York in 1848,1848-02-15,5637,Olympic Theatre,Original Production,1.0,,4822,1848,1848-05-23,50,,,,,,False,,False,,,
Maritana,1848-05-04,5649,Bowery Theatre,Original Production,1.0,Opera,5886,1848,1848-05-06,3,,,,,Opera,False,,False,,,
Met-A-Mora,1848-03-06,7555,Park Theatre,Original Production,1.0,Opera,6003,1848,1848-04-29,2,Met-a-Mora (alternate title),,,,Opera,False,,False,,True,True
Macbeth,1849-05-07,7537,Broadway Theatre,Revival,,Play,313933,1849,,,,,,,Play,False,,True,,,
Macbeth,1849-05-07,5649,Bowery Theatre,Revival,,Play,313934,1849,,,,,,,Play,False,,True,,,
Macbeth,1849-05-07,7624,Astor Place Opera House,Revival,,Play,322188,1849,1849-05-10,2,,,,,Play,False,,True,,,
King Rene's Daughter,1850-04-01,5658,Burton's Chamber Street Theatre,Original Production,,Play,313448,1850,,,,,,,Play,False,,False,,,
She's Come! Jenny's Come!,1850-09-02,5658,Burton's Chamber Street Theatre,Original Production,,Musical,314032,1850,,,,,,,Musical,False,,False,,,
Ingomar,1851-12-01,7537,Broadway Theatre,Original Production,,Play,313305,1851,,,,,,,Play,False,,False,,,
Ingomar,1851-12-01,5649,Bowery Theatre,Original Production,,Play,313306,1851,,,,,,,Play,False,,False,,,
The Andalusian,1851-01-15,7544,Brougham's Lyceum Theatre,Original Production,1.0,Musical,3184,1851,,,"The Andalusian, or, the Young Guard (full title)",,,,Musical,False,,False,,,
"Azael, The Prodigal",1851-06-02,5017,Broadway Theatre,Original Production,1.0,Opera,3324,1851,1851-06-24,19,,,,,Opera,False,,False,,,
"Azael, The Prodigal",1851-06-21,5649,Bowery Theatre,Original Production,1.0,Opera,3325,1851,1851-08-02,12,,,,,Opera,False,,False,,,
Faustus,1851-01-13,5017,Broadway Theatre,Original Production,1.0,Opera,4480,1851,1851-05-21,41,"Faustus, or, the Demon of the Drachenfels (full title)",,,,Opera,False,,False,,,
The Spirit of the Air,1851-04-07,7544,Brougham's Lyceum Theatre,Original Production,1.0,Opera,7287,1851,1851-04-24,13,"The Spirit of the Air, or, The Enchanted Star (full title)",,,,Opera,False,,False,,True,True
The Vision of the Sun,1851-04-07,5017,Broadway Theatre,Original Production,1.0,Opera,7737,1851,1851-05-15,30,"The Vision of the Sun, or, the Orphan of Peru (full title)",,,,Opera,False,,False,,,
The World's Fair,1851-02-10,7544,Brougham's Lyceum Theatre,Original Production,1.0,Musical,7930,1851,1851-03-06,20,"The World's Fair, or, Columbia in the Clouds (full title)",,,,Musical,False,,False,,True,True
The World's Fair,1851-02-15,5658,Burton's Chamber Street Theatre,Original Production,1.0,,7931,1851,,,,,,,,False,,False,,True,True
The Peri,1852-12-13,7537,Broadway Theatre,Original Production,,Musical,312215,1852,1832-12-25,12,,,,,Musical,False,,False,,,
Uncle Tom's Cabin,1852-08-23,7620,Purdy's New National,Original Production,,Play,313555,1852,,,,,,,Play,False,,False,,,
The Basket Maker's Wife,1852-12-17,7414,Niblo's Garden,Original Production,1.0,Opera,3390,1852,1852-12-23,3,The Devil's in It (alternate title),,,,Opera,False,,False,,True,True
The Bohemian Girl,1852-12-22,5649,Bowery Theatre,Revival,1.0,Opera,3626,1852,1852-12-31,9,"The Bohemian Girl, or, the Merry Zingara (full title)",,,,Opera,False,,True,,,
The Enchantress,1852-05-31,7414,Niblo's Garden,Original Production,1.0,Opera,4395,1852,1852-08-30,4,The Enchantress! (alternate title),,,,Opera,False,,False,,True,True
The Magic Deer,1852-03-08,5259,National Theatre,,1.0,,5816,1852,1852-03-12,5,,,,,,False,,,,,
Paul Clifford,1852-01-19,5017,Broadway Theatre,Original Production,1.0,Opera,6552,1852,1852-02-07,18,,,,,Opera,False,,False,,,
Camille,1853-12-09,7537,Broadway Theatre,Original Production,,Play,312092,1853,,,,,,,Play,False,,False,,,
