theatre name,streetAddress,addressLocality,addressRegion,postalCode,Year Closed,Year Demolished,Theatre ID,Capacity
New Theatre,Nassau St.,New York,NY,,1754.0,1758.0,7409,
Nassau Street Theatre,64-6 Nassau Street,New York,NY,,,,5640,
Chapel Street Theatre,Chapel St. (later Beekman St.),New York,NY,,,,7185,
John Street Theatre,15-21 John Street,New York,NY,,,1798.0,5641,
Park Theatre,23 Park Row,New York,NY,,,1848.0,7555,
Bedlow Street Theatre,(address unknown),New York,NY,,,,7140,
Anthony Street Theatre,79-85 Anthony St. (later Worth St.),New York,NY,,,1821.0,7130,
African Grove,Broadway,New York,NY,,,,7610,
Richmond Hill Theatre,Varick St.,New York,NY,,,1849.0,7452,
Chatham Gardens Theatre,Chatham Street,New York,NY,,1832.0,,7607,
Bowery Theatre,46-8 Bowery,New York,NY,,,,5649,
Olympic Theatre,485 Broadway,New York,NY,,,1869.0,5637,
National Theatre,Leonard & Church Sts.,New York,NY,,,1841.0,7553,
Olympic Theatre,444 Broadway,New York,NY,,1852.0,1854.0,7420,
National Theatre,1321 Pennsylvania Ave. NW,Washington,DC,20004,,,5259,
Chatham Theatre,Chatham Street (Roosevelt & James),New York,NY,,,,5654,2200.0
Broadway Theatre,326 Broadway,New York,NY,,,1859.0,7537,4500.0
Astor Place Opera House,Broadway,New York,NY,,1853.0,,7624,
Burton's Chamber Street Theatre,39-41 Chambers St.,New York,NY,,,,5658,
Brougham's Lyceum Theatre,485 Broadway,New York,NY,,,1869.0,7544,
Broadway Theatre (Broadway),1681 Broadway,New York,NY,,,,5017,1761.0
Purdy's New National,Chatham Street (Roosevelt & James),New York,NY,,,,7620,
Niblo's Garden,537 Broadway,New York,NY,,,1895.0,7414,
Wallack's Lyceum Theatre,485 Broadway,New York,NY,,,1869.0,7545,
[Venue Name unknown],(address unknown),New York,NY,,,,7087,
Laura Keene's Varieties,622 Broadway,New York,NY,,,1880.0,5731,
Olympic Theatre,622 Broadway,New York,NY,,1880.0,1880.0,7337,
Metropolitan Music Hall,Edgeware Road,London,,,1962.0,1963.0,5735,1855.0
Hope Chapel,720 Broadway,New York,NY,,,,7648,
Old Winter Garden Theatre,624 Broadway,New York,NY,,,1867.0,7543,
Thèåtre Français,,,,,,,5703,
